                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     91,                 1.1798,                 1.4471,                 1.5615,                0.86261,                0.67273,                0.73293,                0.45726,                 1.2703,                 1.0706,                 1.5334,              0.0032223,              0.0032223,              0.0032223
                     92,                  1.179,                 1.4514,                 1.5681,                0.87636,                 0.6697,                 0.7354,                0.45595,                 1.2629,                 1.0829,                 1.5311,              0.0031462,              0.0031462,              0.0031462
                     93,                 1.1637,                 1.4286,                 1.5546,                0.87161,                0.67576,                0.73854,                0.46092,                 1.2637,                 1.0798,                 1.5318,                0.00307,                0.00307,                0.00307
                     94,                 1.1771,                 1.4344,                 1.5581,                0.88354,                0.66667,                0.73897,                 0.4641,                 1.2612,                 1.0766,                 1.5325,              0.0029938,              0.0029938,              0.0029938
                     95,                 1.1647,                 1.4102,                  1.556,                0.87636,                0.67879,                0.74109,                0.46776,                 1.2612,                 1.0718,                  1.532,              0.0029177,              0.0029177,              0.0029177
                     96,                 1.1536,                 1.4225,                 1.5476,                0.87781,                0.65307,                0.73366,                0.46496,                 1.2557,                  1.069,                  1.526,              0.0028415,              0.0028415,              0.0028415
                     97,                 1.1619,                   1.42,                 1.5567,                0.88853,                0.65455,                 0.7371,                0.46643,                 1.2545,                 1.0542,                 1.5213,              0.0027654,              0.0027654,              0.0027654
                     98,                 1.1595,                 1.4055,                 1.5454,                0.89571,                0.65455,                 0.7389,                0.46622,                 1.2633,                 1.0475,                 1.5222,              0.0026892,              0.0026892,              0.0026892
                     99,                 1.1506,                 1.3943,                 1.5358,                0.88232,                0.65152,                0.73383,                0.46929,                 1.2592,                 1.0465,                 1.5168,              0.0026131,              0.0026131,              0.0026131
                    100,                  1.165,                 1.3981,                 1.5508,                0.88633,                0.65455,                0.74026,                0.46696,                 1.2553,                 1.0417,                 1.5123,              0.0025369,              0.0025369,              0.0025369
                    101,                 1.1471,                 1.3858,                 1.5342,                0.88903,                0.65551,                0.74047,                0.46909,                 1.2617,                 1.0484,                 1.5155,              0.0024608,              0.0024608,              0.0024608
                    102,                 1.1354,                 1.3718,                 1.5264,                0.88636,                0.65455,                0.73749,                0.46977,                 1.2583,                 1.0525,                 1.5121,              0.0023846,              0.0023846,              0.0023846
                    103,                 1.1588,                 1.4012,                 1.5423,                0.88659,                0.65758,                0.74133,                  0.469,                 1.2609,                 1.0534,                 1.5131,              0.0023085,              0.0023085,              0.0023085
                    104,                 1.1387,                 1.3517,                 1.5278,                0.87134,                 0.6697,                0.74078,                0.46881,                 1.2623,                 1.0526,                 1.5113,              0.0022323,              0.0022323,              0.0022323
                    105,                 1.1194,                 1.3663,                 1.5168,                0.86371,                0.67213,                0.74033,                0.46794,                 1.2636,                 1.0579,                 1.5147,              0.0021562,              0.0021562,              0.0021562
                    106,                 1.1189,                 1.3374,                  1.512,                0.86269,                0.66638,                0.73801,                0.46855,                 1.2632,                 1.0518,                 1.5132,                0.00208,                0.00208,                0.00208
                    107,                  1.109,                 1.3387,                 1.5069,                 0.8594,                0.66364,                0.74214,                0.46833,                  1.263,                 1.0524,                 1.5108,              0.0020038,              0.0020038,              0.0020038
                    108,                 1.1274,                 1.3583,                 1.5238,                0.85952,                0.66747,                0.74154,                0.46576,                 1.2679,                 1.0561,                 1.5162,              0.0019277,              0.0019277,              0.0019277
                    109,                 1.1105,                 1.3292,                 1.5084,                0.87917,                0.67273,                 0.7476,                0.46691,                 1.2662,                 1.0531,                 1.5158,              0.0018515,              0.0018515,              0.0018515
                    110,                 1.1054,                 1.3195,                 1.4958,                0.87943,                0.67273,                0.74558,                0.46964,                 1.2611,                 1.0573,                 1.5108,              0.0017754,              0.0017754,              0.0017754
                    111,                 1.1214,                 1.3486,                 1.5075,                0.88188,                0.67879,                0.74811,                0.47096,                  1.258,                 1.0623,                 1.5094,              0.0016992,              0.0016992,              0.0016992
                    112,                 1.1007,                 1.3244,                  1.494,                0.88943,                0.66667,                0.74494,                0.47084,                 1.2588,                 1.0701,                 1.5101,              0.0016231,              0.0016231,              0.0016231
                    113,                 1.0944,                 1.3161,                 1.4958,                0.86835,                0.67959,                0.74139,                0.47121,                 1.2578,                  1.066,                 1.5079,              0.0015469,              0.0015469,              0.0015469
                    114,                 1.1172,                 1.3277,                 1.5044,                0.86458,                0.67716,                0.74242,                0.47117,                 1.2603,                 1.0662,                 1.5106,              0.0014708,              0.0014708,              0.0014708
                    115,                 1.0974,                 1.3074,                 1.4949,                0.85936,                0.68485,                0.74477,                0.46688,                  1.264,                 1.0643,                 1.5129,              0.0013946,              0.0013946,              0.0013946
                    116,                 1.1006,                 1.3117,                  1.496,                0.86828,                0.68788,                0.74294,                0.46647,                 1.2642,                 1.0652,                 1.5109,              0.0013185,              0.0013185,              0.0013185
                    117,                 1.1047,                 1.3067,                 1.4992,                 0.8762,                0.68633,                0.74265,                0.46694,                 1.2644,                 1.0649,                 1.5082,              0.0012423,              0.0012423,              0.0012423
                    118,                 1.0713,                 1.2869,                  1.478,                0.87329,                0.68788,                  0.745,                0.46858,                 1.2646,                 1.0566,                 1.5056,              0.0011662,              0.0011662,              0.0011662
